Student_ID,Attendance,Study_Hours,Assignment_Score,Mid1_Score,Mid2_Score,Previous_Semester_Score,Internal_Assessment,Final_Score,Performance_Category
S0113,84.0,6.3,71.0,56.0,75.0,79,54,72.78,Average Performer
S0114,84.0,5.9,68.0,75.0,80.0,57,86,70.24,Average Performer
S0115,82.0,6.5,82.0,90.0,84.0,90,43,79.3,High Performer
S0116,54.0,2.0,41.0,89.0,60.0,87,79,58.39,Average Performer
S0117,91.0,2.4,99.0,50.0,83.0,41,98,69.44,Average Performer
S0118,88.0,6.0,62.0,63.0,84.0,71,55,74.3,Average Performer
S0119,90.0,4.5,58.0,83.0,39.0,47,67,61.86,Average Performer
S0120,77.0,6.3,70.0,82.0,54.0,61,55,68.14,Average Performer
S0121,56.0,1.7,90.0,64.0,86.0,45,43,59.92,Average Performer
S0122,58.0,4.8,44.0,46.0,75.0,51,84,60.18,Average Performer
S0123,57.0,3.7,58.0,69.0,45.0,86,65,56.81,Average Performer
S0124,61.0,4.2,73.0,45.0,90.0,79,67,70.17,Average Performer
S0125,83.0,5.2,49.0,80.0,88.0,75,71,73.98,Average Performer
S0126,82.0,4.5,64.0,84.0,67.0,54,84,66.08,Average Performer
S0127,97.0,4.8,41.0,55.0,84.0,67,41,66.39,Average Performer
S0128,72.0,4.4,50.0,55.0,72.0,91,70,61.11,Average Performer
S0129,73.0,3.9,89.0,39.0,61.0,88,42,64.52,Average Performer
S0130,86.0,6.4,100.0,82.0,68.0,84,93,80.87,High Performer
S0131,84.0,1.1,70.0,54.0,49.0,57,47,57.54,Average Performer
S0132,93.0,5.2,95.0,71.0,66.0,41,63,71.59,Average Performer
S0133,89.0,5.0,54.0,37.0,95.0,52,54,63.53,Average Performer
S0134,71.0,6.0,48.0,78.0,92.0,84,82,70.98,Average Performer
S0135,76.0,5.2,62.0,67.0,55.0,93,70,69.41,Average Performer
S0136,84.0,6.8,58.0,87.0,80.0,54,48,72.98,Average Performer
S0137,50.0,7.7,48.0,95.0,39.0,59,78,60.56,Average Performer
S0138,84.0,3.4,74.0,43.0,40.0,68,84,58.31,Average Performer
S0139,86.0,2.6,60.0,95.0,72.0,81,41,70.31,Average Performer
S0140,96.0,4.0,48.0,43.0,56.0,68,47,58.42,Average Performer
S0141,63.0,3.0,67.0,38.0,52.0,42,46,50.77,Average Performer
S0142,52.0,5.3,85.0,69.0,48.0,58,95,59.3,Average Performer
S0143,50.0,7.4,90.0,51.0,44.0,42,83,55.58,Average Performer
S0144,54.0,2.0,46.0,68.0,80.0,93,90,67.23,Average Performer
S0145,75.0,1.7,55.0,58.0,47.0,53,78,54.06,Average Performer
S0146,63.0,2.8,55.0,66.0,65.0,79,81,60.15,Average Performer
S0147,88.0,6.1,99.0,35.0,64.0,94,100,68.72,Average Performer
S0148,76.0,5.2,72.0,42.0,37.0,43,96,58.65,Average Performer
S0149,58.0,1.7,43.0,79.0,64.0,91,55,57.03,Average Performer
S0150,64.0,7.4,43.0,57.0,40.0,50,74,54.7,Average Performer
S0151,64.0,6.5,78.0,81.0,63.0,70,69,65.13,Average Performer
S0152,75.0,1.2,79.0,74.0,42.0,82,49,64.35,Average Performer
S0153,91.0,5.6,56.0,46.0,78.0,71,77,71.48,Average Performer
S0154,62.0,6.4,76.0,88.0,79.0,66,57,74.5,Average Performer
S0155,100.0,3.6,78.0,46.0,77.0,69,89,66.65,Average Performer
S0156,81.0,1.5,99.0,80.0,78.0,82,44,77.07,High Performer
S0157,88.0,1.5,91.0,81.0,67.0,41,92,68.57,Average Performer
S0158,98.0,1.7,68.0,49.0,51.0,88,68,60.19,Average Performer
S0159,81.0,6.9,91.0,75.0,82.0,48,78,75.7,High Performer
S0160,53.0,7.4,75.0,53.0,45.0,67,99,59.29,Average Performer
S0161,79.0,1.9,99.0,60.0,47.0,70,73,63.08,Average Performer
S0162,86.0,2.7,77.0,86.0,84.0,73,82,80.67,High Performer
S0163,72.0,2.2,78.0,63.0,45.0,95,84,69.64,Average Performer
S0164,88.0,2.3,89.0,56.0,65.0,54,62,61.84,Average Performer
S0165,94.0,6.9,76.0,74.0,62.0,87,44,73.13,Average Performer
S0166,64.0,3.3,91.0,55.0,78.0,64,69,66.63,Average Performer
S0167,92.0,3.2,100.0,85.0,40.0,75,45,70.18,Average Performer
S0168,78.0,2.6,74.0,72.0,75.0,47,95,69.35,Average Performer
S0169,85.0,5.3,46.0,54.0,50.0,48,97,62.4,Average Performer
S0170,62.0,3.7,66.0,91.0,38.0,76,100,66.65,Average Performer
S0171,81.0,6.2,67.0,63.0,69.0,87,85,73.63,Average Performer
S0172,56.0,2.4,61.0,85.0,94.0,84,83,76.08,High Performer
S0173,100.0,6.5,53.0,38.0,82.0,78,43,63.63,Average Performer
S0174,71.0,5.2,46.0,89.0,90.0,71,68,77.04,High Performer
S0175,77.0,1.8,76.0,41.0,93.0,91,62,66.36,Average Performer
S0176,51.0,3.9,100.0,62.0,60.0,56,45,63.71,Average Performer
S0177,91.0,7.0,61.0,62.0,91.0,74,71,72.81,Average Performer
S0178,94.0,7.5,44.0,38.0,46.0,76,81,58.62,Average Performer
S0179,55.0,4.3,94.0,56.0,45.0,58,57,60.24,Average Performer
S0180,77.0,4.4,41.0,46.0,71.0,83,54,54.56,Average Performer
S0181,77.0,7.4,66.0,79.0,59.0,68,79,74.02,Average Performer
S0182,93.0,5.1,60.0,37.0,52.0,46,97,63.73,Average Performer
S0183,93.0,1.2,93.0,56.0,53.0,67,71,66.33,Average Performer
S0184,69.0,7.4,77.0,78.0,57.0,48,48,67.38,Average Performer
S0185,79.0,2.7,54.0,36.0,89.0,67,76,59.6,Average Performer
S0186,60.0,5.0,60.0,58.0,72.0,45,49,60.97,Average Performer
S0187,77.0,2.2,49.0,68.0,88.0,68,59,66.94,Average Performer
S0188,74.0,1.2,62.0,61.0,52.0,56,45,52.99,Average Performer
S0189,88.0,3.2,97.0,89.0,60.0,55,87,73.83,Average Performer
S0190,82.0,6.5,95.0,75.0,40.0,62,95,70.62,Average Performer
S0191,50.0,2.9,78.0,35.0,38.0,70,98,49.92,Needs Attention
S0192,76.0,2.5,44.0,42.0,78.0,42,42,50.51,Average Performer
S0193,62.0,2.5,40.0,57.0,85.0,60,81,61.45,Average Performer
S0194,90.0,4.6,52.0,72.0,63.0,65,50,65.67,Average Performer
S0195,52.0,7.8,60.0,40.0,93.0,75,82,65.45,Average Performer
S0196,88.0,4.2,65.0,56.0,95.0,81,56,70.92,Average Performer
S0197,55.0,4.9,89.0,59.0,68.0,76,71,67.23,Average Performer
S0198,57.0,7.0,84.0,52.0,51.0,92,43,63.55,Average Performer
S0199,76.0,4.7,60.0,51.0,77.0,61,43,66.39,Average Performer
S0200,58.0,2.3,92.0,95.0,77.0,81,56,74.44,Average Performer
S0201,86.0,3.1,57.0,46.0,87.0,51,80,63.94,Average Performer
S0202,82.0,3.2,76.0,40.0,50.0,81,58,57.78,Average Performer
S0203,100.0,3.8,84.0,60.0,36.0,52,44,65.6,Average Performer
S0204,91.0,4.0,71.0,61.0,68.0,50,71,66.35,Average Performer
S0205,93.0,6.6,75.0,42.0,89.0,93,61,74.48,Average Performer
S0206,73.0,3.4,56.0,53.0,42.0,55,95,55.13,Average Performer
S0207,64.0,4.3,74.0,94.0,47.0,47,45,62.15,Average Performer
S0208,81.0,5.4,88.0,76.0,76.0,79,74,76.34,High Performer
S0209,81.0,3.6,99.0,35.0,42.0,79,61,66.78,Average Performer
S0210,73.0,6.9,50.0,91.0,64.0,84,40,67.26,Average Performer
S0211,90.0,5.1,60.0,63.0,66.0,41,59,62.51,Average Performer
S0212,98.0,3.1,91.0,79.0,70.0,69,61,80.25,High Performer
S0213,98.0,6.0,94.0,83.0,81.0,69,87,82.63,High Performer
S0214,61.0,4.7,92.0,69.0,64.0,51,94,65.75,Average Performer
S0215,88.0,4.7,65.0,74.0,35.0,49,50,64.35,Average Performer
S0216,51.0,4.4,43.0,48.0,77.0,83,52,52.69,Average Performer
S0217,52.0,4.5,73.0,69.0,73.0,50,98,66.61,Average Performer
S0218,98.0,6.4,91.0,82.0,51.0,54,81,75.84,High Performer
S0219,86.0,1.7,87.0,79.0,93.0,55,42,75.34,High Performer
S0220,98.0,3.3,99.0,54.0,54.0,56,48,68.69,Average Performer
S0221,66.0,1.5,57.0,90.0,58.0,65,99,62.42,Average Performer
S0222,98.0,6.3,79.0,83.0,84.0,41,51,80.95,High Performer
S0223,51.0,2.9,74.0,47.0,56.0,89,62,55.15,Average Performer
S0224,51.0,7.3,80.0,95.0,63.0,51,53,70.08,Average Performer
S0225,77.0,4.7,68.0,72.0,56.0,90,72,72.21,Average Performer
S0226,72.0,6.6,91.0,83.0,78.0,65,57,80.34,High Performer
S0227,86.0,7.9,68.0,80.0,43.0,62,88,69.7,Average Performer
S0228,81.0,6.9,77.0,83.0,71.0,57,98,77.44,High Performer
S0229,82.0,7.1,81.0,42.0,44.0,71,80,62.87,Average Performer
S0230,50.0,3.9,60.0,77.0,70.0,88,48,71.01,Average Performer
S0231,68.0,4.9,81.0,54.0,71.0,77,62,68.79,Average Performer
S0232,51.0,2.8,52.0,94.0,62.0,86,49,63.3,Average Performer
S0233,93.0,2.4,88.0,67.0,62.0,42,58,68.04,Average Performer
S0234,75.0,4.5,80.0,60.0,76.0,77,100,72.62,Average Performer
S0235,81.0,5.2,56.0,73.0,77.0,42,86,69.61,Average Performer
S0236,55.0,3.4,95.0,55.0,55.0,69,44,59.03,Average Performer
S0237,81.0,5.0,48.0,87.0,58.0,40,86,64.52,Average Performer
S0238,53.0,7.2,80.0,83.0,76.0,69,91,72.59,Average Performer
S0239,60.0,4.9,40.0,76.0,94.0,84,62,64.98,Average Performer
S0240,66.0,6.0,41.0,77.0,74.0,71,69,68.25,Average Performer
S0241,87.0,6.6,99.0,88.0,36.0,67,64,71.14,Average Performer
S0242,73.0,7.9,87.0,75.0,89.0,60,67,74.52,Average Performer
S0243,54.0,5.2,68.0,43.0,42.0,85,73,55.31,Average Performer
S0244,83.0,6.6,72.0,58.0,82.0,52,84,71.01,Average Performer
S0245,55.0,7.7,49.0,71.0,61.0,66,95,64.55,Average Performer
S0246,71.0,7.6,89.0,83.0,56.0,75,87,73.1,Average Performer
S0247,60.0,2.0,97.0,75.0,71.0,46,86,65.47,Average Performer
S0248,97.0,3.8,99.0,51.0,61.0,61,64,71.83,Average Performer
S0249,65.0,3.3,79.0,58.0,91.0,49,49,67.19,Average Performer
S0250,82.0,1.6,60.0,55.0,63.0,78,53,62.82,Average Performer
S0251,58.0,5.4,67.0,85.0,37.0,92,81,64.8,Average Performer
S0252,55.0,6.2,50.0,93.0,78.0,54,96,69.61,Average Performer
S0253,65.0,6.9,94.0,73.0,47.0,54,85,68.34,Average Performer
S0254,78.0,1.9,73.0,89.0,79.0,43,97,69.23,Average Performer
S0255,52.0,7.1,47.0,75.0,44.0,71,69,63.32,Average Performer
S0256,69.0,5.5,98.0,73.0,70.0,62,94,77.49,High Performer
S0257,85.0,5.9,61.0,47.0,43.0,94,80,65.83,Average Performer
S0258,68.0,7.4,47.0,45.0,88.0,45,64,61.07,Average Performer
S0259,75.0,5.4,88.0,80.0,90.0,63,53,78.17,High Performer
S0260,52.0,3.4,54.0,53.0,89.0,59,74,62.84,Average Performer
S0261,68.0,6.8,56.0,45.0,61.0,76,91,58.48,Average Performer
S0262,69.0,3.5,99.0,47.0,68.0,59,87,70.48,Average Performer
S0263,81.0,1.2,62.0,80.0,85.0,51,73,63.23,Average Performer
S0264,56.0,6.8,63.0,79.0,35.0,72,49,62.01,Average Performer
S0265,90.0,3.4,84.0,35.0,66.0,67,74,68.96,Average Performer
S0266,82.0,6.4,58.0,74.0,59.0,47,50,64.96,Average Performer
S0267,89.0,3.5,44.0,78.0,63.0,40,50,62.15,Average Performer
S0268,88.0,7.0,71.0,53.0,41.0,76,60,66.65,Average Performer
S0269,67.0,2.5,83.0,46.0,83.0,61,60,68.81,Average Performer
S0270,89.0,7.8,40.0,42.0,37.0,45,61,54.11,Average Performer
S0271,50.0,6.5,62.0,42.0,54.0,60,84,52.86,Average Performer
S0272,60.0,1.8,76.0,95.0,54.0,71,46,63.13,Average Performer
S0273,77.0,5.0,47.0,87.0,87.0,74,94,69.69,Average Performer
S0274,74.0,7.9,52.0,79.0,64.0,54,56,69.99,Average Performer
S0275,99.0,4.3,47.0,46.0,69.0,44,41,59.06,Average Performer
S0276,72.0,2.3,96.0,95.0,69.0,95,51,75.32,High Performer
S0277,80.0,4.4,62.0,82.0,83.0,85,96,78.73,High Performer
S0278,79.0,4.6,82.0,67.0,73.0,89,81,72.52,Average Performer
S0279,91.0,6.2,40.0,79.0,61.0,87,57,72.23,Average Performer
S0280,84.0,5.9,84.0,60.0,60.0,45,93,65.34,Average Performer
S0281,56.0,3.8,90.0,73.0,48.0,64,98,66.88,Average Performer
S0282,65.0,2.5,63.0,62.0,51.0,95,50,60.58,Average Performer
S0283,75.0,5.5,74.0,92.0,52.0,85,55,71.38,Average Performer
S0284,97.0,4.0,63.0,39.0,79.0,95,88,70.74,Average Performer
S0285,98.0,1.9,56.0,42.0,86.0,79,90,64.04,Average Performer
S0286,51.0,7.3,44.0,59.0,63.0,68,57,58.47,Average Performer
S0287,50.0,5.8,59.0,61.0,54.0,46,74,55.52,Average Performer
S0288,97.0,5.8,60.0,80.0,87.0,79,92,76.32,High Performer
S0289,61.0,6.8,79.0,57.0,61.0,52,98,62.54,Average Performer
S0290,54.0,4.7,97.0,64.0,52.0,77,65,63.81,Average Performer
S0291,86.0,6.7,70.0,79.0,38.0,57,55,64.43,Average Performer
S0292,81.0,4.5,85.0,81.0,35.0,41,45,55.76,Average Performer
S0293,58.0,1.5,75.0,57.0,84.0,47,96,65.28,Average Performer
S0294,90.0,3.8,50.0,83.0,35.0,50,83,61.62,Average Performer
S0295,84.0,4.5,91.0,81.0,92.0,72,82,74.03,Average Performer
S0296,68.0,6.0,54.0,54.0,60.0,93,86,70.5,Average Performer
S0297,97.0,1.7,58.0,52.0,79.0,77,86,71.72,Average Performer
S0298,65.0,2.0,46.0,52.0,54.0,87,87,55.1,Average Performer
S0299,52.0,2.8,90.0,36.0,86.0,66,81,59.22,Average Performer
S0300,69.0,2.9,67.0,38.0,57.0,59,51,55.41,Average Performer
S0301,73.0,6.1,90.0,64.0,44.0,51,99,66.46,Average Performer
S0302,82.0,2.8,82.0,67.0,93.0,82,52,75.93,High Performer
S0303,73.0,5.4,97.0,70.0,45.0,70,43,64.18,Average Performer
S0304,60.0,4.5,44.0,52.0,75.0,66,78,62.29,Average Performer
S0305,98.0,5.0,44.0,71.0,75.0,71,93,70.73,Average Performer
S0306,57.0,6.9,69.0,53.0,39.0,49,41,56.04,Average Performer
S0307,85.0,3.8,93.0,81.0,92.0,42,65,74.41,Average Performer
S0308,87.0,6.4,71.0,62.0,35.0,84,98,75.09,High Performer
S0309,89.0,4.0,47.0,74.0,51.0,66,66,65.84,Average Performer
S0310,69.0,3.5,49.0,54.0,56.0,74,66,66.0,Average Performer
S0311,84.0,7.7,77.0,83.0,68.0,70,54,78.43,High Performer
S0312,97.0,2.3,86.0,67.0,90.0,54,47,72.07,Average Performer
S0313,74.0,1.6,71.0,46.0,79.0,55,46,62.34,Average Performer
S0314,84.0,6.4,87.0,92.0,75.0,52,86,81.85,High Performer
S0315,74.0,1.5,67.0,85.0,63.0,88,94,70.57,Average Performer
S0316,78.0,6.9,56.0,49.0,38.0,74,85,61.84,Average Performer
S0317,67.0,4.1,70.0,75.0,39.0,91,79,66.14,Average Performer
S0318,95.0,7.4,47.0,73.0,45.0,50,99,64.02,Average Performer
S0319,67.0,6.1,79.0,36.0,90.0,60,51,61.91,Average Performer
S0320,51.0,5.3,64.0,63.0,85.0,90,52,63.92,Average Performer
S0321,84.0,7.6,48.0,75.0,55.0,93,82,71.38,Average Performer
S0322,65.0,3.8,41.0,44.0,69.0,50,56,52.68,Average Performer
S0323,90.0,7.7,54.0,36.0,46.0,69,100,59.17,Average Performer
S0324,85.0,1.9,89.0,85.0,60.0,87,56,75.08,High Performer
S0325,82.0,4.4,42.0,45.0,85.0,92,95,67.9,Average Performer
S0326,53.0,2.9,88.0,47.0,53.0,74,75,58.36,Average Performer
S0327,82.0,4.8,75.0,44.0,79.0,61,60,65.38,Average Performer
S0328,63.0,2.1,43.0,48.0,94.0,77,47,58.47,Average Performer
S0329,70.0,6.9,53.0,52.0,41.0,70,44,54.13,Average Performer
S0330,97.0,6.9,80.0,85.0,81.0,53,65,82.85,High Performer
S0331,69.0,7.7,80.0,88.0,89.0,63,55,75.84,High Performer
S0332,57.0,2.1,64.0,43.0,41.0,89,75,53.18,Average Performer
S0333,56.0,5.4,97.0,91.0,60.0,88,67,78.49,High Performer
S0334,52.0,4.3,94.0,73.0,74.0,71,93,68.95,Average Performer
S0335,66.0,3.4,89.0,62.0,39.0,75,68,63.93,Average Performer
S0336,82.0,3.5,49.0,37.0,55.0,71,86,58.76,Average Performer
S0337,97.0,3.9,60.0,54.0,48.0,94,51,65.58,Average Performer
S0338,61.0,5.9,75.0,40.0,38.0,54,76,55.44,Average Performer
S0339,100.0,5.2,51.0,61.0,57.0,82,69,67.82,Average Performer
S0340,71.0,4.2,66.0,87.0,76.0,74,62,71.5,Average Performer
S0341,71.0,1.5,79.0,36.0,54.0,42,55,50.86,Average Performer
S0342,95.0,1.5,41.0,63.0,49.0,55,53,57.32,Average Performer
S0343,79.0,1.0,93.0,72.0,84.0,44,49,67.04,Average Performer
S0344,87.0,7.8,52.0,37.0,86.0,60,46,68.92,Average Performer
S0345,87.0,1.0,92.0,50.0,79.0,49,84,62.0,Average Performer
S0346,94.0,1.7,71.0,64.0,63.0,58,91,68.34,Average Performer
S0347,100.0,3.2,70.0,74.0,42.0,64,99,69.26,Average Performer
S0348,57.0,6.7,55.0,36.0,75.0,43,100,58.59,Average Performer
S0349,76.0,7.7,71.0,51.0,82.0,68,76,73.82,Average Performer
S0350,76.0,6.5,71.0,75.0,53.0,58,68,66.29,Average Performer
S0351,83.0,5.8,99.0,46.0,82.0,82,42,73.92,Average Performer
S0352,70.0,4.6,73.0,69.0,73.0,41,54,59.6,Average Performer
S0353,79.0,1.6,50.0,77.0,80.0,49,75,63.7,Average Performer
S0354,82.0,7.7,49.0,35.0,62.0,82,86,65.92,Average Performer
S0355,77.0,6.3,54.0,89.0,80.0,64,85,70.23,Average Performer
S0356,96.0,5.5,56.0,79.0,91.0,59,91,78.03,High Performer
S0357,82.0,6.3,79.0,49.0,61.0,87,58,66.12,Average Performer
S0358,54.0,6.1,57.0,60.0,38.0,58,52,53.12,Average Performer
S0359,97.0,5.5,94.0,71.0,92.0,62,81,80.0,High Performer
S0360,68.0,7.9,48.0,55.0,49.0,63,60,55.06,Average Performer
S0361,53.0,7.3,64.0,83.0,69.0,50,76,67.86,Average Performer
S0362,84.0,5.5,79.0,65.0,71.0,85,66,73.0,Average Performer
S0363,98.0,5.9,98.0,59.0,35.0,73,94,72.84,Average Performer
S0364,66.0,1.4,53.0,57.0,37.0,94,91,57.68,Average Performer
S0365,93.0,5.7,99.0,58.0,81.0,67,68,80.73,High Performer
